feature,importance
precipitation,0.1476574265292533
weather_condition_enc,0.1345527071663377
visibility,0.12292714642036237
hour,0.08167590344381347
traffic_volume,0.07578337955688572
speed_limit,0.0631898524955312
junction,0.055776052623314205
humidity,0.05407406289787629
temperature,0.05358334726981126
wind_speed,0.052998117740164774
month,0.04540808824637695
day_of_week,0.043493557823619834
road_type_enc,0.03067917811061417
traffic_signal,0.015042473616053589
bump,0.01206277954614604
crossing,0.011095926513839127
